,end_date,variable,value
82,2019-07-28,p_lnp,53
165,2019-07-28,p_alp,47
164,2019-08-18,p_alp,49
81,2019-08-18,p_lnp,51
80,2019-09-07,p_lnp,51
163,2019-09-07,p_alp,49
162,2019-09-29,p_alp,49
79,2019-09-29,p_lnp,51
161,2019-10-20,p_alp,49
78,2019-10-20,p_lnp,51
160,2019-11-10,p_alp,50
77,2019-11-10,p_lnp,50
76,2019-11-23,p_lnp,51
159,2019-11-23,p_alp,49
158,2019-12-08,p_alp,48
75,2019-12-08,p_lnp,52
157,2020-01-11,p_alp,51
74,2020-01-11,p_lnp,49
156,2020-02-01,p_alp,52
73,2020-02-01,p_lnp,48
155,2020-02-22,p_alp,51
72,2020-02-22,p_lnp,49
154,2020-03-14,p_alp,51
71,2020-03-14,p_lnp,49
153,2020-04-03,p_alp,49
70,2020-04-03,p_lnp,51
152,2020-04-25,p_alp,50
69,2020-04-25,p_lnp,50
68,2020-04-26,p_lnp,51.5
151,2020-04-26,p_alp,48.5
67,2020-05-16,p_lnp,51
150,2020-05-16,p_alp,49
66,2020-06-06,p_lnp,51
149,2020-06-06,p_alp,49
65,2020-06-08,p_lnp,47
148,2020-06-08,p_alp,45
147,2020-06-15,p_alp,47
64,2020-06-15,p_lnp,47
145,2020-06-22,p_alp,46
62,2020-06-22,p_lnp,48
143,2020-06-29,p_alp,45
60,2020-06-29,p_lnp,47
142,2020-07-13,p_alp,46
59,2020-07-13,p_lnp,45
141,2020-07-18,p_alp,47
58,2020-07-18,p_lnp,53
140,2020-07-19,p_alp,48.5
57,2020-07-19,p_lnp,51.5
63,2020-07-21,p_lnp,50.5
146,2020-07-21,p_alp,49.5
56,2020-07-26,p_lnp,45
139,2020-07-26,p_alp,47
144,2020-07-27,p_alp,49
61,2020-07-27,p_lnp,51
55,2020-08-08,p_lnp,52
138,2020-08-08,p_alp,48
54,2020-08-10,p_lnp,46
137,2020-08-10,p_alp,44
53,2020-08-16,p_lnp,54
136,2020-08-16,p_alp,46
52,2020-08-24,p_lnp,47
135,2020-08-24,p_alp,45
51,2020-08-29,p_lnp,50
134,2020-08-29,p_alp,50
133,2020-09-07,p_alp,47
50,2020-09-07,p_lnp,45
49,2020-09-19,p_lnp,51
132,2020-09-19,p_alp,49
131,2020-09-21,p_alp,42
48,2020-09-21,p_lnp,49
130,2020-10-05,p_alp,46
47,2020-10-05,p_lnp,47
129,2020-10-10,p_alp,48
46,2020-10-10,p_lnp,52
128,2020-10-12,p_alp,44
45,2020-10-12,p_lnp,47
127,2020-10-19,p_alp,45
44,2020-10-19,p_lnp,48
43,2020-11-02,p_lnp,44
126,2020-11-02,p_alp,46
125,2020-11-07,p_alp,49
42,2020-11-07,p_lnp,51
40,2020-11-16,p_lnp,45
123,2020-11-16,p_alp,47
41,2020-11-22,p_lnp,50.5
124,2020-11-22,p_alp,49.5
39,2020-11-28,p_lnp,51
122,2020-11-28,p_alp,49
38,2020-11-30,p_lnp,49
121,2020-11-30,p_alp,43
120,2020-12-14,p_alp,46
37,2020-12-14,p_lnp,45
119,2021-01-18,p_alp,45
36,2021-01-18,p_lnp,48
35,2021-01-30,p_lnp,50
118,2021-01-30,p_alp,50
34,2021-02-01,p_lnp,44
117,2021-02-01,p_alp,47
116,2021-02-14,p_alp,50.5
33,2021-02-14,p_lnp,49.5
32,2021-02-15,p_lnp,47
115,2021-02-15,p_alp,47
114,2021-02-20,p_alp,50
31,2021-02-20,p_lnp,50
113,2021-03-01,p_alp,48
30,2021-03-01,p_lnp,45
29,2021-03-13,p_lnp,48
112,2021-03-13,p_alp,52
111,2021-03-14,p_alp,50.5
28,2021-03-14,p_lnp,49.5
110,2021-03-15,p_alp,47
27,2021-03-15,p_lnp,47
109,2021-03-27,p_alp,52
26,2021-03-27,p_lnp,48
108,2021-03-29,p_alp,47
25,2021-03-29,p_lnp,46
107,2021-04-12,p_alp,48
24,2021-04-12,p_lnp,45
23,2021-04-24,p_lnp,49
106,2021-04-24,p_alp,51
22,2021-04-26,p_lnp,46
105,2021-04-26,p_alp,46
21,2021-05-10,p_lnp,44
104,2021-05-10,p_alp,48
20,2021-05-15,p_lnp,49
103,2021-05-15,p_alp,51
102,2021-05-24,p_alp,48
19,2021-05-24,p_lnp,44
18,2021-06-05,p_lnp,50
101,2021-06-05,p_alp,50
17,2021-06-06,p_lnp,49
100,2021-06-06,p_alp,51
16,2021-06-07,p_lnp,44
99,2021-06-07,p_alp,48
14,2021-06-20,p_lnp,49.5
97,2021-06-20,p_alp,50.5
98,2021-06-21,p_alp,47
15,2021-06-21,p_lnp,45
13,2021-06-26,p_lnp,49
96,2021-06-26,p_alp,51
95,2021-07-05,p_alp,48
12,2021-07-05,p_lnp,44
11,2021-07-17,p_lnp,47
94,2021-07-17,p_alp,53
93,2021-07-18,p_alp,52.5
10,2021-07-18,p_lnp,47.5
92,2021-07-19,p_alp,47
9,2021-07-19,p_lnp,45
91,2021-08-01,p_alp,53.5
8,2021-08-01,p_lnp,46.5
7,2021-08-07,p_lnp,47
90,2021-08-07,p_alp,53
6,2021-08-15,p_lnp,46
89,2021-08-15,p_alp,54
88,2021-08-28,p_alp,54
5,2021-08-28,p_lnp,46
87,2021-08-29,p_alp,54.5
4,2021-08-29,p_lnp,45.5
3,2021-09-12,p_lnp,47.5
86,2021-09-12,p_alp,52.5
2,2021-09-18,p_lnp,47
85,2021-09-18,p_alp,53
1,2021-09-26,p_lnp,46
84,2021-09-26,p_alp,54
83,2021-10-02,p_alp,53
0,2021-10-02,p_lnp,47
