,date,name,value
0,2021-05-01,Liverpool (C),1
1,2021-05-02,Cumberland (A),1
2,2021-05-02,Parramatta (C),2
3,2021-05-03,Blacktown (C),2
4,2021-05-03,Campbelltown (C) (NSW),1
5,2021-05-03,Canterbury-Bankstown (A),1
6,2021-05-03,Fairfield (C),1
7,2021-05-03,Liverpool (C),1
8,2021-05-04,Blacktown (C),1
9,2021-05-04,Cumberland (A),2
10,2021-05-05,Canterbury-Bankstown (A),1
11,2021-05-05,Cumberland (A),3
12,2021-05-05,Parramatta (C),2
13,2021-05-06,Parramatta (C),1
14,2021-05-07,Canterbury-Bankstown (A),1
15,2021-05-07,Parramatta (C),1
16,2021-05-09,Canterbury-Bankstown (A),2
17,2021-05-10,Campbelltown (C) (NSW),1
18,2021-05-12,Cumberland (A),2
19,2021-05-13,Canterbury-Bankstown (A),2
20,2021-05-15,Canterbury-Bankstown (A),2
21,2021-05-16,Cumberland (A),1
22,2021-05-17,Blacktown (C),1
23,2021-05-17,Cumberland (A),1
24,2021-05-17,Liverpool (C),1
25,2021-05-18,Blacktown (C),1
26,2021-05-19,Cumberland (A),1
27,2021-05-21,Canterbury-Bankstown (A),1
28,2021-05-21,Cumberland (A),1
29,2021-05-27,Cumberland (A),2
30,2021-05-27,Liverpool (C),1
31,2021-06-06,Blacktown (C),1
32,2021-06-06,Canterbury-Bankstown (A),1
33,2021-06-06,Fairfield (C),1
34,2021-06-07,Canterbury-Bankstown (A),1
35,2021-06-07,Cumberland (A),2
36,2021-06-07,Liverpool (C),1
37,2021-06-07,Parramatta (C),1
38,2021-06-08,Canterbury-Bankstown (A),1
39,2021-06-09,Canterbury-Bankstown (A),1
40,2021-06-10,Cumberland (A),1
41,2021-06-13,Canterbury-Bankstown (A),1
42,2021-06-18,Cumberland (A),3
43,2021-06-19,Cumberland (A),1
44,2021-06-22,Liverpool (C),1
45,2021-06-23,Campbelltown (C) (NSW),1
46,2021-06-23,Liverpool (C),2
47,2021-06-24,Cumberland (A),2
48,2021-06-24,Liverpool (C),6
49,2021-06-25,Campbelltown (C) (NSW),1
50,2021-06-25,Canterbury-Bankstown (A),2
51,2021-06-25,Georges River (A),1
52,2021-06-25,Liverpool (C),5
53,2021-06-26,Canterbury-Bankstown (A),3
54,2021-06-26,Fairfield (C),2
55,2021-06-26,Georges River (A),1
56,2021-06-26,Liverpool (C),1
57,2021-06-27,Blacktown (C),1
58,2021-06-27,Campbelltown (C) (NSW),1
59,2021-06-27,Canterbury-Bankstown (A),6
60,2021-06-27,Fairfield (C),1
61,2021-06-27,Liverpool (C),1
62,2021-06-28,Campbelltown (C) (NSW),1
63,2021-06-28,Canterbury-Bankstown (A),2
64,2021-06-28,Georges River (A),1
65,2021-06-28,Liverpool (C),2
66,2021-06-29,Blacktown (C),1
67,2021-06-29,Campbelltown (C) (NSW),1
68,2021-06-29,Canterbury-Bankstown (A),1
69,2021-06-29,Cumberland (A),2
70,2021-06-29,Liverpool (C),5
71,2021-06-29,Parramatta (C),1
72,2021-06-30,Blacktown (C),1
73,2021-06-30,Canterbury-Bankstown (A),4
74,2021-06-30,Cumberland (A),1
75,2021-06-30,Fairfield (C),1
76,2021-06-30,Georges River (A),1
77,2021-06-30,Liverpool (C),1
78,2021-06-30,Parramatta (C),2
79,2021-07-01,Canterbury-Bankstown (A),3
80,2021-07-01,Cumberland (A),1
81,2021-07-01,Fairfield (C),3
82,2021-07-01,Georges River (A),6
83,2021-07-01,Parramatta (C),3
84,2021-07-02,Blacktown (C),1
85,2021-07-02,Campbelltown (C) (NSW),1
86,2021-07-02,Canterbury-Bankstown (A),4
87,2021-07-02,Cumberland (A),2
88,2021-07-02,Fairfield (C),4
89,2021-07-02,Georges River (A),2
90,2021-07-02,Liverpool (C),1
91,2021-07-03,Campbelltown (C) (NSW),4
92,2021-07-03,Canterbury-Bankstown (A),1
93,2021-07-03,Cumberland (A),1
94,2021-07-03,Fairfield (C),3
95,2021-07-03,Georges River (A),3
96,2021-07-04,Canterbury-Bankstown (A),1
97,2021-07-04,Cumberland (A),2
98,2021-07-04,Fairfield (C),1
99,2021-07-04,Georges River (A),2
100,2021-07-05,Canterbury-Bankstown (A),3
101,2021-07-05,Fairfield (C),2
102,2021-07-05,Georges River (A),1
103,2021-07-05,Liverpool (C),2
104,2021-07-05,Parramatta (C),2
105,2021-07-06,Blacktown (C),1
106,2021-07-06,Campbelltown (C) (NSW),1
107,2021-07-06,Canterbury-Bankstown (A),5
108,2021-07-06,Cumberland (A),2
109,2021-07-06,Fairfield (C),11
110,2021-07-06,Georges River (A),1
111,2021-07-06,Liverpool (C),4
112,2021-07-07,Blacktown (C),1
113,2021-07-07,Campbelltown (C) (NSW),1
114,2021-07-07,Canterbury-Bankstown (A),8
115,2021-07-07,Cumberland (A),2
116,2021-07-07,Fairfield (C),10
117,2021-07-07,Georges River (A),5
118,2021-07-07,Liverpool (C),1
119,2021-07-07,Parramatta (C),1
120,2021-07-08,Blacktown (C),1
121,2021-07-08,Canterbury-Bankstown (A),13
122,2021-07-08,Cumberland (A),1
123,2021-07-08,Fairfield (C),9
124,2021-07-08,Georges River (A),1
125,2021-07-08,Liverpool (C),4
126,2021-07-08,Parramatta (C),4
127,2021-07-09,Blacktown (C),1
128,2021-07-09,Canterbury-Bankstown (A),10
129,2021-07-09,Cumberland (A),2
130,2021-07-09,Fairfield (C),19
131,2021-07-09,Georges River (A),2
132,2021-07-09,Liverpool (C),2
133,2021-07-10,Blacktown (C),1
134,2021-07-10,Campbelltown (C) (NSW),2
135,2021-07-10,Canterbury-Bankstown (A),12
136,2021-07-10,Cumberland (A),5
137,2021-07-10,Fairfield (C),59
138,2021-07-10,Georges River (A),3
139,2021-07-10,Liverpool (C),3
140,2021-07-11,Blacktown (C),2
141,2021-07-11,Canterbury-Bankstown (A),10
142,2021-07-11,Cumberland (A),2
143,2021-07-11,Fairfield (C),74
144,2021-07-11,Georges River (A),2
145,2021-07-11,Liverpool (C),8
146,2021-07-11,Parramatta (C),3
147,2021-07-12,Blacktown (C),1
148,2021-07-12,Canterbury-Bankstown (A),8
149,2021-07-12,Fairfield (C),38
150,2021-07-12,Georges River (A),2
151,2021-07-12,Liverpool (C),1
152,2021-07-12,Parramatta (C),1
153,2021-07-13,Blacktown (C),1
154,2021-07-13,Canterbury-Bankstown (A),14
